weight,w_pre_clip,w_vol_target,sigma_hat_ann,regime_name,regime_idx,regime_size,p_crisis,adx_override,confidence_scaling,date,regime_label,above_200ma,adx_14,atr_ratio,is_sideways,is_volatile,is_quiet,vix
0.10152208745438998,0.10152208745438998,0.24878874755547448,0.4019474392735635,bull_volatile,1,0.625,0.3470953106880188,False,False,2018-04-12,1,True,24.06,1.3022,False,True,False,
0.10153863073738716,0.10153863073738716,0.2488332977543906,0.401875476081599,bull_volatile,1,0.625,0.34710583090782166,False,False,2018-04-13,1,True,23.85,1.2683,False,True,False,
0.10156372249332735,0.10156372249332735,0.2488846204527123,0.40179260501554315,bull_quiet,1,0.625,0.34707915782928467,False,False,2018-04-16,0,True,23.45,1.228,False,False,False,
0.1015746783780503,0.1015746783780503,0.24891096823784808,0.4017500743657247,bull_quiet,1,0.625,0.3470778465270996,False,False,2018-04-17,0,True,22.26,1.2019,False,False,False,
0.10158063042944743,0.10158063042944743,0.24892657646202707,0.40172488378417354,bull_quiet,1,0.625,0.3470805287361145,False,False,2018-04-18,0,True,21.04,1.1343,False,False,False,
0.10159587930260502,0.10159587930260502,0.24896100110012265,0.40166933599284416,bull_quiet,1,0.625,0.3470728099346161,False,False,2018-04-19,0,True,20.45,1.1,False,False,False,
0.10159241644509118,0.10159241644509118,0.24895654937031428,0.401676518464487,bull_quiet,1,0.625,0.3470833897590637,False,False,2018-04-20,0,True,20.4,1.086,False,False,False,
0.10160783247533828,0.10160783247533828,0.24899062196923685,0.40162155188461335,bull_quiet,1,0.625,0.34707367420196533,False,False,2018-04-23,0,True,20.4,1.0539,False,False,False,
0.10160855725996211,0.10160855725996211,0.24899335272776507,0.401617147222939,bull_quiet,1,0.625,0.3470761775970459,False,False,2018-04-24,0,True,21.25,1.1151,False,False,False,
0.10160415707152329,0.10160415707152329,0.2489822517872957,0.40163505343115585,bull_quiet,1,0.625,0.34707534313201904,False,False,2018-04-25,0,True,22.12,1.0953,False,False,False,
0.10160841407635693,0.10160841407635693,0.2489941838341312,0.40161580668332214,bull_quiet,1,0.625,0.3470792770385742,False,False,2018-04-26,0,True,21.83,1.0849,False,False,False,
0.10161561137463794,0.10161561137463794,0.2490124688760554,0.4015863159437789,bull_quiet,1,0.625,0.3470809757709503,False,False,2018-04-27,0,True,21.53,1.0369,False,False,False,
0.10164548431682942,0.10164548431682942,0.24908229684282276,0.4014737348560044,bull_quiet,1,0.625,0.34707212448120117,False,False,2018-04-30,0,True,21.51,1.0296,False,False,False,
0.10164084463658035,0.10164084463658035,0.24907404234682756,0.4014870399893106,bull_quiet,1,0.625,0.3470802903175354,False,False,2018-05-01,0,True,22.01,1.0126,False,False,False,
0.10166897857807314,0.10166897857807314,0.24913848219025672,0.40138319508438747,bull_quiet,1,0.625,0.3470684885978699,False,False,2018-05-02,0,True,22.25,0.9961,False,False,False,
0.10167023565191664,0.10167023565191664,0.2491437687789654,0.4013746781229664,bull_quiet,1,0.625,0.3470742702484131,False,False,2018-05-03,0,True,23.24,1.0123,False,False,False,
0.1016853740370613,0.1016853740370613,0.24918202564005312,0.40131305515772386,bull_quiet,1,0.625,0.34707731008529663,False,False,2018-05-04,0,True,22.94,1.0554,False,False,False,
0.10171850360822253,0.10171850360822253,0.24926414326900898,0.4011808465049815,bull_quiet,1,0.625,0.3470797538757324,False,False,2018-05-07,0,True,22.28,1.0137,False,False,False,
0.10172757099250145,0.10172757099250145,0.24928619247841793,0.4011453623074513,bull_quiet,1,0.625,0.3470793068408966,False,False,2018-05-08,0,True,21.89,0.9804,False,False,False,
0.1017120559975989,0.1017120559975989,0.24924292794647673,0.4012149946395845,bull_quiet,1,0.625,0.3470655679702759,False,False,2018-05-09,0,True,20.73,0.9679,False,False,False,
0.05086211007403522,0.05086211007403522,0.2492697891072188,0.40117175995598425,sideways_quiet,1,0.625,0.34705784916877747,True,False,2018-05-10,4,True,19.55,0.9556,True,False,False,
0.05086251643954852,0.05086251643954852,0.24927698030736728,0.40116018686000005,sideways_quiet,1,0.625,0.34707146883010864,True,False,2018-05-11,4,True,18.65,0.9143,True,False,False,
0.050871882989399174,0.050871882989399174,0.24932518453319663,0.40108262704077297,sideways_quiet,1,0.625,0.34707748889923096,True,False,2018-05-14,4,True,18.06,0.8807,True,False,False,
0.050869488085410045,0.050869488085410045,0.24931549538920314,0.4010982143083057,sideways_quiet,1,0.625,0.34708285331726074,True,False,2018-05-15,4,True,16.79,0.8799,True,False,False,
0.05086456354172489,0.05086456354172489,0.24929261148271817,0.40113503326564637,sideways_quiet,1,0.625,0.3470861315727234,True,False,2018-05-16,4,True,15.95,0.8488,True,False,False,
0.05086919058465274,0.05086919058465274,0.24931466321034573,0.40109955312026885,sideways_quiet,1,0.625,0.34708449244499207,True,False,2018-05-17,4,True,15.3,0.8316,True,False,False,
0.050870737083960726,0.050870737083960726,0.24932239069230724,0.4010871214668064,sideways_quiet,1,0.625,0.3470848798751831,True,False,2018-05-18,4,True,14.62,0.7914,True,False,False,
0.050880412374681626,0.050880412374681626,0.24936828498138755,0.4010133045084857,sideways_quiet,1,0.625,0.34708088636398315,True,False,2018-05-21,4,True,14.58,0.7944,True,False,False,
0.05087924730907968,0.05087924730907968,0.24936251800695175,0.40102257869088487,sideways_quiet,1,0.625,0.3470807373523712,True,False,2018-05-22,4,True,14.42,0.7811,True,False,False,
0.05089124485717049,0.05089124485717049,0.24941668526001567,0.40093548631580317,sideways_quiet,1,0.625,0.3470686078071594,True,False,2018-05-23,4,True,13.78,0.7795,True,False,False,
0.050885917887026844,0.050885917887026844,0.24939848945882956,0.4009647380663382,sideways_quiet,1,0.625,0.34708932042121887,True,False,2018-05-24,4,True,13.12,0.783,True,False,False,
0.050890927357786775,0.050890927357786775,0.2494215614845611,0.4009276479739699,sideways_quiet,1,0.625,0.34708544611930847,True,False,2018-05-25,4,True,12.5,0.7527,True,False,False,
0.05089196372993178,0.05089196372993178,0.24942958962288794,0.40091474372062186,sideways_quiet,1,0.625,0.3470931649208069,True,False,2018-05-29,4,True,12.66,0.8068,True,False,False,
0.05089179981320814,0.05089179981320814,0.24942917334269693,0.40091541281984494,sideways_quiet,1,0.625,0.34709417819976807,True,False,2018-05-30,4,True,12.06,0.8468,True,False,False,
0.05089768853468991,0.05089768853468991,0.24945789830580642,0.4008692475930813,sideways_quiet,1,0.625,0.3470938205718994,True,False,2018-05-31,4,True,11.56,0.8383,True,False,False,
0.05089749117989448,0.05089749117989448,0.24946110999795465,0.40086408659377776,sideways_quiet,1,0.625,0.3471047580242157,True,False,2018-06-01,4,True,10.92,0.8476,True,False,False,
0.05091198371102203,0.05091198371102203,0.24952190204304517,0.4007664224311217,sideways_quiet,1,0.625,0.34707796573638916,True,False,2018-06-04,4,True,10.77,0.8198,True,False,False,
0.05090967621267237,0.05090967621267237,0.24951125344260774,0.4007835262749056,sideways_quiet,1,0.625,0.34707969427108765,True,False,2018-06-05,4,True,10.74,0.7887,True,False,False,
0.050909504109747865,0.050909504109747865,0.24950804110488672,0.4007886862370203,sideways_quiet,1,0.625,0.347073495388031,True,False,2018-06-06,4,True,11.38,0.7896,True,False,False,
0.050913126757769545,0.050913126757769545,0.2495266613410204,0.4007587784911412,sideways_quiet,1,0.625,0.34707576036453247,True,False,2018-06-07,4,True,12.2,0.7777,True,False,False,
0.050919509741047246,0.050919509741047246,0.2495635489783775,0.4006995428994486,sideways_quiet,1,0.625,0.3470904231071472,True,False,2018-06-08,4,True,12.97,0.758,True,False,False,
0.05093086125230947,0.05093086125230947,0.249612701302744,0.40062063940694476,sideways_quiet,1,0.625,0.3470734655857086,True,False,2018-06-11,4,True,14.04,0.729,True,False,True,
0.05093258905117943,0.05093258905117943,0.2496183550358008,0.40061156554636296,sideways_quiet,1,0.625,0.34706610441207886,True,False,2018-06-12,4,True,14.96,0.7018,True,False,True,
0.05093360118587967,0.05093360118587967,0.24962537774570265,0.40060029514255396,sideways_quiet,1,0.625,0.34707149863243103,True,False,2018-06-13,4,True,15.59,0.693,True,False,True,
0.05093545560433748,0.05093545560433748,0.24963007950088317,0.40059274987991267,sideways_quiet,1,0.625,0.34706002473831177,True,False,2018-06-14,4,True,16.17,0.6746,True,False,True,
0.05093174706811627,0.05093174706811627,0.24961484375493895,0.4006172008671715,sideways_quiet,1,0.625,0.3470677137374878,True,False,2018-06-15,4,True,15.22,0.7185,True,False,True,
0.05093623075847926,0.05093623075847926,0.24963924520227193,0.40057804180177803,sideways_quiet,1,0.625,0.34707406163215637,True,False,2018-06-18,4,True,14.13,0.7234,True,False,True,
0.05093180088584501,0.05093180088584501,0.24961674817232754,0.4006141444121496,sideways_quiet,1,0.625,0.3470720052719116,True,False,2018-06-19,4,True,13.77,0.7526,True,False,False,
0.050939537970402474,0.050939537970402474,0.24965055399889613,0.40055989621574073,sideways_quiet,1,0.625,0.34706124663352966,True,False,2018-06-20,4,True,12.95,0.7269,True,False,True,
0.05093749311902256,0.05093749311902256,0.24964829219858847,0.4005635252671895,sideways_quiet,1,0.625,0.3470815420150757,True,False,2018-06-21,4,True,13.0,0.7355,True,False,True,
0.05093670425551242,0.05093670425551242,0.2496444828970207,0.4005696374281597,sideways_quiet,1,0.625,0.3470816910266876,True,False,2018-06-22,4,True,13.06,0.7216,True,False,True,
0.050935015037409964,0.050935015037409964,0.24963847146122733,0.4005792833719202,sideways_quiet,1,0.625,0.3470876216888428,True,False,2018-06-25,4,True,14.82,0.8282,True,False,False,
0.05093302234930945,0.05093302234930945,0.24963257920425058,0.40058873853231924,sideways_quiet,1,0.625,0.3470977544784546,True,False,2018-06-26,4,True,16.45,0.8119,True,False,False,
0.050937059280173266,0.050937059280173266,0.24965960140504662,0.4005453803387295,sideways_quiet,1,0.625,0.3471166789531708,True,False,2018-06-27,4,True,18.36,0.88,True,False,False,
0.10187406757041279,0.10187406757041279,0.24965454195988188,0.4005534977051187,bull_quiet,1,0.625,0.3471037745475769,False,False,2018-06-28,0,True,20.3,0.9004,False,False,False,
0.10188285322311512,0.10188285322311512,0.2496762090103912,0.4005187374334017,bull_quiet,1,0.625,0.34710413217544556,False,False,2018-06-29,0,True,21.01,0.9048,False,False,False,
0.10189618657202495,0.10189618657202495,0.24970817729584213,0.4004674619907415,bull_quiet,1,0.625,0.3471022844314575,False,False,2018-07-02,0,True,22.17,0.9096,False,False,False,
0.10191321039855195,0.10191321039855195,0.24974467496004196,0.4004089377120836,bull_quiet,1,0.625,0.34708863496780396,False,False,2018-07-03,0,True,22.76,0.9075,False,False,False,
0.10191745429651924,0.10191745429651924,0.24976075229555608,0.4003831630105931,bull_quiet,1,0.625,0.347103476524353,False,False,2018-07-05,0,True,23.19,0.898,False,False,False,
0.10192611570732395,0.10192611570732395,0.2497785576636952,0.4003546218512527,bull_quiet,1,0.625,0.3470945358276367,False,False,2018-07-06,0,True,22.3,0.9134,False,False,False,
0.1019478737739574,0.1019478737739574,0.24981595902467119,0.4002946824951414,bull_quiet,1,0.625,0.3470529317855835,False,False,2018-07-09,0,True,20.8,0.9107,False,False,False,
0.05097308395970781,0.05097308395970781,0.2498139339668354,0.4002979273897337,sideways_quiet,1,0.625,0.34705856442451477,True,False,2018-07-10,4,True,19.79,0.8684,True,False,False,
0.05097599584663785,0.05097599584663785,0.24982846709865247,0.4002746410820826,sideways_quiet,1,0.625,0.3470592498779297,True,False,2018-07-11,4,True,18.51,0.8666,True,False,False,
0.32262431418823706,0.32262431418823706,1.1062638442728905,0.09039434897714352,sideways_quiet,4,0.625,0.06677072495222092,True,False,2018-07-12,4,True,17.58,0.8707,True,False,False,
0.3280675022137658,0.3280675022137658,1.122284682561194,0.08910395156760716,sideways_quiet,4,0.625,0.06457245349884033,True,False,2018-07-13,4,True,16.89,0.837,True,False,False,
0.25419127334504527,0.25419127334504527,0.9475528724735838,0.1055350080243547,sideways_quiet,4,0.625,0.1415655016899109,True,False,2018-07-16,4,True,16.25,0.7975,True,False,False,
0.3430335027050759,0.3430335027050759,1.1627214291582615,0.08600512340466093,sideways_quiet,4,0.625,0.05591556057333946,True,False,2018-07-17,4,True,16.09,0.8084,True,False,False,
0.3265191557925104,0.3265191557925104,1.1184432970171618,0.08940998642192727,sideways_quiet,4,0.625,0.06578965485095978,True,False,2018-07-18,4,True,16.04,0.7767,True,False,False,
0.2696122397495101,0.2696122397495101,0.9806454327802615,0.10197365597929374,sideways_quiet,4,0.625,0.12021293491125107,True,False,2018-07-19,4,True,15.68,0.7631,True,False,False,
0.2760169344431532,0.2760169344431532,0.9947915727983533,0.10052356969480505,sideways_quiet,4,0.625,0.11212135851383209,True,False,2018-07-20,4,True,15.34,0.7318,True,False,True,
0.33395254597137836,0.33395254597137836,1.1380967865144151,0.08786598924179759,sideways_quiet,4,0.625,0.06102173402905464,True,False,2018-07-23,4,True,14.77,0.7161,True,False,True,
0.33032211687992236,0.33032211687992236,1.1289670790003752,0.0885765420977052,sideways_quiet,4,0.625,0.06371869146823883,True,False,2018-07-24,4,True,15.19,0.7339,True,False,True,
0.3315819798105191,0.3315819798105191,1.1326390885799178,0.08828937744447632,sideways_quiet,4,0.625,0.06319466978311539,True,False,2018-07-25,4,True,16.22,0.7733,True,False,False,
0.3401514535634954,0.3401514535634954,1.155539454377876,0.08653966735721577,sideways_quiet,4,0.625,0.05802900344133377,True,False,2018-07-26,4,True,17.18,0.7432,True,False,True,
0.30617701287044014,0.30617701287044014,1.0640225509960444,0.09398297047970346,sideways_quiet,4,0.625,0.07918639481067657,True,False,2018-07-27,4,True,16.54,0.7935,True,False,False,
0.3252201612418647,0.3252201612418647,1.1152163370409294,0.08966870075212136,sideways_quiet,4,0.625,0.06681378185749054,True,False,2018-07-30,4,True,15.45,0.8033,True,False,False,
0.3076760390661161,0.3076760390661161,1.0674642380395296,0.09367995332907525,sideways_quiet,4,0.625,0.07766153663396835,True,False,2018-07-31,4,True,14.59,0.8042,True,False,False,
0.32311860876331194,0.32311860876331194,1.1072391081525204,0.09031472900813142,sideways_quiet,4,0.625,0.06616417318582535,True,False,2018-08-01,4,True,13.66,0.803,True,False,False,
0.32012743690309176,0.32012743690309176,1.0979665612475205,0.09107745493303458,sideways_quiet,4,0.625,0.06699544936418533,True,False,2018-08-02,4,True,13.06,0.8471,True,False,False,
0.3354178079750966,0.3354178079750966,1.1406736630677987,0.08766749267363093,sideways_quiet,4,0.625,0.0590323768556118,True,False,2018-08-03,4,True,12.31,0.8206,True,False,False,
0.32862052178431916,0.32862052178431916,1.1236876439894072,0.08899270231803197,sideways_quiet,4,0.625,0.06416549533605576,True,False,2018-08-06,4,True,12.25,0.8116,True,False,False,
0.3464664575199979,0.3464664575199979,1.17299465026355,0.08525188071192982,sideways_quiet,4,0.625,0.05481865257024765,True,False,2018-08-07,4,True,12.63,0.7904,True,False,False,
0.3526409784415337,0.3526409784415337,1.1903482104545575,0.08400903124121392,sideways_quiet,4,0.625,0.05199913680553436,True,False,2018-08-08,4,True,12.8,0.7584,True,False,False,
0.31273728133189554,0.31273728133189554,1.0792926901303022,0.09265327275396175,sideways_quiet,4,0.625,0.07276375591754913,True,False,2018-08-09,4,True,12.99,0.7324,True,False,True,
0.24522832624163143,0.24522832624163143,0.9237516298765737,0.1082542068297746,sideways_quiet,4,0.625,0.15049606561660767,True,False,2018-08-10,4,True,12.4,0.7654,True,False,False,
0.22524026644364376,0.22524026644364376,0.890335207502748,0.11231724765831116,sideways_quiet,4,0.625,0.19045226275920868,True,False,2018-08-13,4,True,12.13,0.7842,True,False,False,
0.22495606392262302,0.22495606392262302,0.8924528045340836,0.11205074317874578,sideways_quiet,4,0.625,0.19339218735694885,True,False,2018-08-14,4,True,11.88,0.7905,True,False,False,
0.19873486019064604,0.19873486019064604,0.8463892675691792,0.11814894615476272,sideways_quiet,4,0.625,0.24862994253635406,True,False,2018-08-15,4,True,12.68,0.8517,True,False,False,
0.23017668556627044,0.23017668556627044,0.8965271877521881,0.11154151415165038,sideways_quiet,4,0.625,0.17842380702495575,True,False,2018-08-16,4,True,12.06,0.89,True,False,False,
0.24397880150806248,0.24397880150806248,0.9218045647303057,0.10848286483508271,sideways_quiet,4,0.625,0.1530393809080124,True,False,2018-08-17,4,True,11.23,0.8893,True,False,False,
0.3020804960592242,0.3020804960592242,1.050501400249677,0.0951926384641016,sideways_quiet,4,0.625,0.07981313765048981,True,False,2018-08-20,4,True,10.59,0.8471,True,False,False,
0.2565762054592537,0.2565762054592537,0.944387465547019,0.10588874127218202,sideways_quiet,4,0.625,0.1306069940328598,True,False,2018-08-21,4,True,10.63,0.8335,True,False,False,
0.31168489927836746,0.31168489927836746,1.0740798525765907,0.09310294738339223,sideways_quiet,4,0.625,0.07139895111322403,True,False,2018-08-22,4,True,10.59,0.8059,True,False,False,
0.3340230609721866,0.3340230609721866,1.134104474568928,0.08817529799272673,sideways_quiet,4,0.625,0.05751734599471092,True,False,2018-08-23,4,True,10.64,0.7926,True,False,False,
0.3611275645917762,0.3611275645917762,1.210973296579669,0.08257820406316539,sideways_quiet,4,0.625,0.04571949690580368,True,False,2018-08-24,4,True,11.04,0.7937,True,False,False,
0.35613604734275117,0.35613604734275117,1.198458084357612,0.08344054857254454,sideways_quiet,4,0.625,0.049082010984420776,True,False,2018-08-27,4,True,12.34,0.8126,True,False,False,
0.3166899228400314,0.3166899228400314,1.0866521576860555,0.09202576858904189,sideways_quiet,4,0.625,0.06740372627973557,True,False,2018-08-28,4,True,13.74,0.7824,True,False,False,
0.3189258266546678,0.3189258266546678,1.0886579754702759,0.09185621402975737,sideways_quiet,4,0.625,0.06254979223012924,True,False,2018-08-29,4,True,15.49,0.7846,True,False,False,
0.27684317312601997,0.27684317312601997,0.9801550344573822,0.10202467618335544,sideways_quiet,4,0.625,0.09616527706384659,True,False,2018-08-30,4,True,16.93,0.7869,True,False,False,
0.3305678116033194,0.3305678116033194,1.125295705759963,0.08886553062287346,sideways_quiet,4,0.625,0.059965312480926514,True,False,2018-08-31,4,True,18.0,0.7775,True,False,False,
0.0,0.0,0.8365927573382618,0.11953247159127238,sideways_quiet,5,0.0,0.26831021904945374,True,False,2018-09-04,4,True,18.54,0.7735,True,False,False,
0.29409749878789765,0.29409749878789765,0.8347418314180196,0.11979751850955496,sideways_quiet,2,1.0,0.29535698890686035,True,False,2018-09-05,4,True,18.47,0.7806,True,False,False,
0.2456469758470191,0.2456469758470191,0.7767585992095288,0.1287401260852025,sideways_quiet,2,1.0,0.36750754714012146,True,False,2018-09-06,4,True,17.8,0.8076,True,False,False,
0.21297006383393327,0.21297006383393327,0.881138989805654,0.11348947346213363,sideways_quiet,4,0.625,0.2265644669532776,True,False,2018-09-07,4,True,16.99,0.8141,True,False,False,
0.0,0.0,0.8538445329802004,0.11711733944230675,sideways_quiet,5,0.0,0.2581902742385864,True,False,2018-09-10,4,True,16.43,0.8004,True,False,False,
0.2015720139802481,0.2015720139802481,0.8591987150643308,0.11638751111553129,sideways_quiet,4,0.625,0.24926511943340302,True,False,2018-09-11,4,True,15.3,0.8291,True,False,False,
0.23561805149504472,0.23561805149504472,0.9137204026195874,0.10944266945698637,sideways_quiet,4,0.625,0.17482660710811615,True,False,2018-09-12,4,True,14.41,0.8189,True,False,False,
0.29571194964900716,0.29571194964900716,1.0363143896064766,0.09649581343550906,sideways_quiet,4,0.625,0.0868811160326004,True,False,2018-09-13,4,True,14.35,0.8228,True,False,False,
0.30086417133493487,0.30086417133493487,1.048360656811316,0.0953870210125579,sideways_quiet,4,0.625,0.08164681494235992,True,False,2018-09-14,4,True,14.43,0.8028,True,False,False,
0.23070074696185688,0.23070074696185688,0.90480238063725,0.11052137145082472,sideways_quiet,4,0.625,0.18408438563346863,True,False,2018-09-17,4,True,13.77,0.8065,True,False,False,
0.23200997906777424,0.23200997906777424,0.9081630789325442,0.11011238214786281,sideways_quiet,4,0.625,0.1824905127286911,True,False,2018-09-18,4,True,13.6,0.8244,True,False,False,
0.31313760582315975,0.31313760582315975,1.0812215067494395,0.09248798638924395,sideways_quiet,4,0.625,0.07323306798934937,True,False,2018-09-19,4,True,13.52,0.7896,True,False,False,
0.3085533385093323,0.3085533385093323,1.068696745031248,0.09357191407659436,sideways_quiet,4,0.625,0.07609835267066956,True,False,2018-09-20,4,True,14.64,0.8281,True,False,False,
0.33483776104133256,0.33483776104133256,1.142556074701366,0.08752305660458491,sideways_quiet,4,0.625,0.06220722198486328,True,False,2018-09-21,4,True,15.68,0.8271,True,False,False,
0.326825733006698,0.326825733006698,1.1179122410722258,0.08945245997493217,sideways_quiet,4,0.625,0.06446829438209534,True,False,2018-09-24,4,True,15.5,0.8211,True,False,False,
0.3148003140080533,0.3148003140080533,1.0802956879716752,0.0925672490535961,sideways_quiet,4,0.625,0.06751362979412079,True,False,2018-09-25,4,True,15.41,0.7989,True,False,False,
0.30555463046840525,0.30555463046840525,1.05983237386523,0.09435454366740845,sideways_quiet,4,0.625,0.0774250328540802,True,False,2018-09-26,4,True,14.55,0.8421,True,False,False,
0.31294613753995104,0.31294613753995104,1.0765713289732188,0.0928874820541386,sideways_quiet,4,0.625,0.06979908049106598,True,False,2018-09-27,4,True,13.75,0.8505,True,False,False,
0.30279787062656316,0.30279787062656316,1.052045110676235,0.09505295826689586,sideways_quiet,4,0.625,0.07898133248090744,True,False,2018-09-28,4,True,12.89,0.832,True,False,False,
0.3121529822762313,0.3121529822762313,1.0747105080698516,0.09304831324260247,sideways_quiet,4,0.625,0.07055012881755829,True,False,2018-10-01,4,True,13.18,0.8489,True,False,False,
0.3279128522807813,0.3279128522807813,1.1177520673882146,0.08946527849746153,sideways_quiet,4,0.625,0.061221931129693985,True,False,2018-10-02,4,True,13.44,0.8266,True,False,False,
0.36613066345351086,0.36613066345351086,1.2293640433672988,0.08134287035603731,sideways_quiet,4,0.625,0.04697218909859657,True,False,2018-10-03,4,True,14.19,0.8326,True,False,False,
0.2690523338803507,0.2690523338803507,0.9714461101269757,0.1029393179483,sideways_quiet,4,0.625,0.11372596025466919,True,False,2018-10-04,4,True,13.95,0.9197,True,False,False,
0.26982444739754613,0.26982444739754613,0.9770691558835377,0.1023469008287061,sideways_quiet,4,0.625,0.11629772931337357,True,False,2018-10-05,4,True,14.41,0.9939,True,False,False,
